product_id,product_name,category,subcategory,unit_cost,list_price
PROD-00001,Purpose Audio Brother,Electronics,Audio,1488.27,1948.41
PROD-00002,Ago Household Site,Grocery,Household,222.94,363.71
PROD-00003,Face Skincare Election,Health & Beauty,Skincare,1189.18,1392.12
PROD-00004,Dog Audio Chair,Electronics,Audio,480.67,740.86
PROD-00005,Since Skincare Blue,Health & Beauty,Skincare,1437.72,2308.78
PROD-00006,Require Kitchen Sit,Home & Living,Kitchen,909.43,1210.29
PROD-00007,Wait Audio Offer,Electronics,Audio,1402.32,1922.81
PROD-00008,Begin Snacks Performance,Grocery,Snacks,1915.28,2621.61
PROD-00009,Knowledge Mobile Accessories Almost,Electronics,Mobile Accessories,211.5,359.73
PROD-00010,All Personal Care Better,Health & Beauty,Personal Care,1618.11,2628.34
PROD-00011,Discover Skincare Early,Health & Beauty,Skincare,1946.77,2717.78
PROD-00012,Mouth Personal Care Play,Health & Beauty,Personal Care,1662.22,2579.83
PROD-00013,Agreement Kids Option,Apparel,Kids,400.73,478.96
PROD-00014,Decide Beverages Sense,Grocery,Beverages,1970.74,3362.0
PROD-00015,Rate Mobile Accessories Science,Electronics,Mobile Accessories,570.39,891.63
PROD-00016,Offer Men Kind,Apparel,Men,752.96,968.44
PROD-00017,Discussion Kids List,Apparel,Kids,1874.58,2945.38
PROD-00018,Perform Wellness Fall,Health & Beauty,Wellness,358.85,582.75
PROD-00019,Table Beverages True,Grocery,Beverages,771.32,1383.12
PROD-00020,According Skincare Song,Health & Beauty,Skincare,1375.54,2335.47
PROD-00021,Sure Audio Collection,Electronics,Audio,1647.17,2756.18
PROD-00022,Save Furniture Knowledge,Home & Living,Furniture,151.05,263.36
PROD-00023,Grow Wellness Fall,Health & Beauty,Wellness,643.06,1013.49
PROD-00024,Clearly Decor Dinner,Home & Living,Decor,928.53,1227.68
PROD-00025,Source Household Great,Grocery,Household,1131.51,1494.48
PROD-00026,Blue Personal Care Best,Health & Beauty,Personal Care,1797.69,2534.04
PROD-00027,Husband Snacks Bill,Grocery,Snacks,1028.86,1243.99
PROD-00028,Her Audio Throw,Electronics,Audio,322.63,404.57
PROD-00029,Guy Decor Pm,Home & Living,Decor,145.78,203.81
PROD-00030,Everything Decor Surface,Home & Living,Decor,517.8,781.67
PROD-00031,Animal Computing Show,Electronics,Computing,1447.03,2305.28
PROD-00032,Machine Personal Care Not,Health & Beauty,Personal Care,1541.83,2114.02
PROD-00033,Capital Women Win,Apparel,Women,333.15,383.83
PROD-00034,Human Kids Bar,Apparel,Kids,1528.69,2262.45
PROD-00035,Old Computing Finally,Electronics,Computing,610.92,956.28
PROD-00036,Themselves Skincare Production,Health & Beauty,Skincare,322.62,530.91
PROD-00037,Present Wellness Value,Health & Beauty,Wellness,1838.62,2830.21
PROD-00038,Training Kitchen High,Home & Living,Kitchen,241.5,334.7
PROD-00039,Participant Men Dark,Apparel,Men,134.69,231.76
PROD-00040,Sea Audio Available,Electronics,Audio,1469.18,2468.83
PROD-00041,Answer Skincare Recently,Health & Beauty,Skincare,274.22,400.07
PROD-00042,Drive Skincare Spring,Health & Beauty,Skincare,544.81,935.48
PROD-00043,Figure Kitchen Base,Home & Living,Kitchen,1859.25,3050.88
PROD-00044,Top Household Early,Grocery,Household,637.2,1144.95
PROD-00045,Trial Women Blood,Apparel,Women,1801.24,2600.03
